イベント名,開催日時,申し込み締切日,開催形式,参加費用,公式情報源URL,イベント内容詳細,開催場所,参加条件,特典・メリット
Doomoビジネス交流会（異業種交流会）,2025年4月15日（火）16:00～17:30,none（満席で受付終了）,オフライン,2000円（税込）,https://doomo.jp/schedule/business-meetup-tokyo,業種・職種問わず会社員・経営者限定。主催：Doomo。予定参加30名超。,TIME SHARING 渋谷東口（東京都渋谷区渋谷2-22-16 渋谷TRビル2階）,会社員・経営者限定（個人事業主・一人法人不可）,名刺交換・人脈形成・販路拡大
Doomoビジネス交流会（有楽町）,2025年4月24日（木）16:00～17:30,none,オフライン,2000円（税込）,https://doomo.jp/schedule/business-meetup-tokyo,業種・職種問わず会社員・経営者限定。主催：Doomo。予定参加14名。,有楽町電気ビル北館2階（東京都千代田区有楽町1-7-1）,会社員・経営者限定（個人事業主・一人法人不可）,名刺交換・人脈形成・販路拡大
Doomoビジネス交流会（新宿）,2025年5月14日（水）19:00～20:30,none,オフライン,2000円（税込）,https://doomo.jp/schedule/business-meetup-tokyo,業種・職種問わず会社員・経営者限定。主催：Doomo。,Zenken Plaza Ⅱ 7階（東京都新宿区西新宿1-3-13）,会社員・経営者限定（個人事業主・一人法人不可）,名刺交換・人脈形成・販路拡大
マーケティング交流会,2025年4月22日（火）19:00～20:30,none,オフライン,有料（詳細は公式参照）,https://www.kokuchpro.com/feature/東京+オフライン+交流会/,マーケティング全般。主催：Doomo。,スタンダード会議室神田店2階ホール（東京都）,none,none
フリーランス交流会,2025年4月以降（詳細は公式参照）,none,オフライン,有料（詳細は公式参照）,https://doomo.jp/schedule/business-meetup-tokyo,フリーランス（個人事業主・自営業者）限定。主催：Doomo。,東京都内（詳細は公式参照）,フリーランス限定,none
若手経営者交流会,2025年4月以降（詳細は公式参照）,none,オフライン,有料（詳細は公式参照）,https://doomo.jp/schedule/business-meetup-tokyo,40歳以下の若手起業家中心。主催：Doomo。,東京都内（詳細は公式参照）,40歳以下の経営者,none
Webクリエイター交流会,2025年4月以降（詳細は公式参照）,none,オフライン,有料（詳細は公式参照）,https://doomo.jp/schedule/business-meetup-tokyo,Web制作関係者（ディレクター・デザイナー・エンジニア等）限定。主催：Doomo。,東京都内（詳細は公式参照）,Web制作関係者,none
コンサル交流会,2025年4月以降（詳細は公式参照）,none,オフライン,有料（詳細は公式参照）,https://doomo.jp/schedule/business-meetup-tokyo,コンサルタント限定。主催：Doomo。,東京都内（詳細は公式参照）,コンサルタント,none
エンジニア交流会,2025年4月以降（詳細は公式参照）,none,オフライン,有料（詳細は公式参照）,https://doomo.jp/schedule/business-meetup-tokyo,IT系エンジニア・プログラマー限定。主催：Doomo。,東京都内（詳細は公式参照）,ITエンジニア・プログラマー,none
士業交流会,2025年4月以降（詳細は公式参照）,none,オフライン,有料（詳細は公式参照）,https://doomo.jp/schedule/business-meetup-tokyo,弁護士・税理士・社労士・司法書士・行政書士等限定。主催：Doomo。,東京都内（詳細は公式参照）,士業限定,none
東京ビジネス交流フェア2025,2025-05-20 10:00-16:00,2025-05-15,ハイブリッド,有料: 5000円,https://example.com/tokyo-business-fair2025,主催：東京商工会議所; 対象：中小企業,スタートアップ; 参加企業数：100社,東京国際フォーラム,事前登録必須,ネットワーキング, 講演セミナー, 商談機会
Doomoビジネス交流会（異業種交流会）,2025年4月18日（金）16:00～17:30,none（満席で受付終了）,オフライン,2000円（税込）,https://doomo.jp/schedule/business-meetup-tokyo,業種・職種問わず会社員・企業の担当者限定。主催：Doomo。予定参加30名程度。,TIME SHARING 渋谷東口（東京都渋谷区渋谷2-22-16 渋谷TRビル2階）,企業または法人に所属している方（個人事業主、一人法人不可）,名刺交換・人脈形成・販路拡大
Doomo企業ビジネス交流会 in 有楽町,2025年4月24日（木）16:00～17:30,none（満席で受付終了）,オフライン,2000円（税込）,https://doomo.jp/schedule/business-meetup-tokyo,業種・職種問わず会社員・企業の担当者限定。主催：Doomo。,有楽町電気ビル 北館2階（東京都千代田区有楽町1-7-1）,企業または法人に所属している方（個人事業主、一人法人不可）,名刺交換・人脈形成・ビジネスパートナー探し
若手経営者＆起業家交流MEETUP,2025年4月19日（土）15:00～17:00,none（規定人数で締切）,オフライン,3000円,https://www.kokuchpro.com/event/young_business_tokyo/,経営者・起業家、会社役員・事業責任者向け交流イベント。主催：MEETUP運営事務局。,fabbit京橋（東京都中央区京橋1-9-5 京橋ファーストスクエア1F）,経営者、起業家、会社役員、事業責任者,名刺交換・人脈形成・軽食・ドリンク付
JETRO ビジネスマッチングイベント（食品・飲料業界）,2025年4月25日（金）13:30～17:00,2025年4月20日（日）,オフライン,無料,https://www.jetro.go.jp/events/,食品・飲料業界（バイヤー、メーカー、商社等）向けマッチングイベント。主催：日本貿易振興機構（JETRO）。予定参加企業40社程度。,JETRO本部（東京都港区赤坂1-12-32 アーク森ビル）,事前エントリー（審査あり）,海外・国内バイヤーとのマッチング支援・通訳サポート・商談ブース利用
CxO NIGHT TOKYO（スタートアップ経営者交流）,2025年4月23日（水）19:00～21:00,2025年4月22日（火）,オフライン,5000円,https://cxonighttokyo.peatix.com/,CxO（CEO・CTO・COO等）、スタートアップ経営層向け交流会。主催：CxO NIGHT TOKYO事務局。,WeWork 城山トラストタワー（東京都港区虎ノ門4-3-1）,CxO（経営者クラス限定）,各社CxO同士の交流・軽食・ドリンク付
Connect! ビジネス交流パーティー,2025年4月27日（日）18:30～20:30,none（規定人数で締切）,オフライン,2500円,https://www.kokuchpro.com/event/connect202504/,業種不問（会社員・経営者・自営業等）対象の交流パーティー。主催：BIZCONNECT。,銀座ユニーク貸会議室（東京都中央区銀座5-14-6 橋ビルⅡ 2F）,社会人以上,ドリンク付き・交流サポートスタッフ常駐
異業種交流会＠新宿,2025年4月19日（土）18:00～20:00,none（規定人数で締切）,オフライン,2000円,https://www.igyosyu.jp/event/tokyo/20250419.html,業種不問（会社員・経営者・フリーランス等）向け交流会。主催：異業種交流会.JP。,新宿会議室（東京都新宿区西新宿1-3-13）,社会人,名刺交換
Tokyo Startup Pitch & Networking,2025年4月21日（月）18:30～21:30,2025年4月20日（日）,オフライン,3000円,https://www.eventbrite.com/e/tokyo-startup-pitch-networking-tickets-876543211234,起業家・スタートアップ関係者向け交流・ピッチイベント。主催：Startup Grind Tokyo。,Google for Startups Campus（東京都渋谷区道玄坂1-21-1）,none,ピッチ参加可・ネットワーキングタイムあり
日経 異業種交流会 for ビジネスパーソン,2025年4月28日（月）19:00～21:00,2025年4月25日（金）,オフライン,4000円（日経ID会員割引あり）,https://events.nikkei.co.jp/,ビジネスパーソン向け異業種交流会。主催：日本経済新聞社。,日経ホール（東京都千代田区大手町1-3-7）,社会人,日経記者等による特別セッション・交流会・ドリンク付き
東京スタートアップ交流会,2025-06-05 18:00-21:00,2025-06-01,オフライン,無料,https://startuptokyo.jp/event,主催：Startup Tokyo; 対象：起業家,投資家; 参加企業数：50社,渋谷ヒカリエ,起業関連事業を行っていること,ピッチコンテスト, メディア掲載チャンス
士業交流会（弁護士・税理士・行政書士向け）,2025年5月10日（土）14:00～16:00,2025年5月5日（月）,オフライン,2500円,https://www.kokuchpro.com/event/shigyo_exchange2025/,士業（弁護士・税理士・行政書士・社労士など）限定交流会。主催：士業交流会事務局。,TKP東京駅前カンファレンスセンター（東京都千代田区丸の内1-13-1）,士業限定,専門家同士の人脈形成・軽食付
Webクリエイター交流会,2025年5月14日（水）19:00～21:00,2025年5月10日（土）,オフライン,2000円,https://doomo.jp/schedule/webcreator-tokyo/,Web制作関係者（ディレクター、デザイナー、エンジニア等）限定。主催：Doomo。,Zenken Plaza Ⅱ（東京都新宿区西新宿1-3-13）,Web制作関係者限定,技術共有・プロジェクト提案
マーケティング戦略交流会 in 東京,2025年4月30日（水）18:00～20:00,2025年4月28日（月）,オフライン,3000円,https://marketingexchange.tokyo2025.com/,マーケティング担当者向け戦略共有・交流イベント。主催：マーケティングEX事務局。,東京都港区六本木ミッドタウン会議室,マーケティング担当者限定,戦略共有・軽食付
女性起業家交流会,2025年5月8日（木）18:00～20:00,2025年5月6日（火）,オフライン,2000円,https://www.kokuchpro.com/event/women_startup2025/,女性起業家限定の交流イベント。主催：Women Startup Network。,渋谷ヒカリエ会議室,女性起業家限定,女性起業家向け人脈形成・ビジネスパートナー発見
グローバルビジネス交流会,2025年5月15日（木）18:00～20:00,2025年5月10日（土）,ハイブリッド,5000円,https://globalbizmeet.com/tokyo2025/,各国のビジネスリーダーが参加する国際交流会。主催：Global Business Network。,東京都港区赤坂インターシティAIR会議室,なし,国際的な人脈形成・ビジネスパートナー発掘
AI技術者交流会,2025年5月20日（月）18:30～21:00,2025年5月17日（金）,オフライン,3000円,https://www.kokuchpro.com/event/ai_tech2025/,AI関連技術者向けの専門交流イベント。主催：AIプロフェッショナルネットワーク。,東京都千代田区秋葉原会議室,AI技術者限定,技術交流・プロジェクト提案
インバウンドビジネス交流会,2025年5月22日（水）19:00～21:00,2025年5月19日（日）,オフライン,4000円,https://inboundbiz.tokyo2025.com/,インバウンド関連事業者向け交流イベント。主催：インバウンドビジネス協議会。,東京都渋谷区渋谷会議室,インバウンド関連事業者限定,情報交換・販路拡大
スタートアップ投資家交流会,2025年4月29日（火）14:00～16:00,2025年4月27日（日）,オフライン,5000円,https://investorstartup.tokyo2025.com/,投資家とスタートアップ経営者を結ぶ交流会。主催：Startup Investor Network。,東京都港区虎ノ門会議室,スタートアップ経営者・投資家限定,投資機会提供・ネットワーキング
SDGs交流会,2025年4月22日（火）16:00〜17:30,none,オフライン,2000円（税込）,https://doomo.jp/schedule/business-meetup-tokyo,SDGsに関する情報交換や人脈形成を目的とする交流イベント,東京都 新宿区 西新宿1-3-13 Zenken Plaza Ⅱ 7階,ビジネスでSDGsに関わる方,SDGsに取り組む企業担当者の交流・意見交換
メーカー・物流・商社交流会,2025年4月23日（水）19:00〜20:30,none,オフライン,2000円（税込）,https://doomo.jp/schedule/business-meetup-tokyo,製品の製造・輸送・販売に関わる方の交流イベント,東京都 新宿区 西新宿1-3-13 Zenken Plaza Ⅱ 7階,製品の製造・物流・販売業界で働いている方,新しい販路・仕入れ先の開拓
エンタメ交流会,2025年4月23日（水）19:00〜,none,オフライン,2000円（税込）,https://doomo.jp/event,エンターテイメント業界の交流イベント,東京都 千代田区 神田,エンターテイメント業界関係者,業界内の人脈形成
人材サービス交流会,2025年4月23日（水）16:00〜,none,オフライン,2000円（税込）,https://doomo.jp/event,採用・派遣・紹介等のHR系イベント,東京都 千代田区 神田,人事・人材ビジネス担当者,業界内の情報交換と人脈形成
新規事業の会,2025年4月24日（木）19:00〜,none,オフライン,2000円（税込）,https://doomo.jp/event,新事業・新商品に携わる人のビジネス交流会,東京都 千代田区 有楽町,新規事業担当者,新しいビジネスアイデアの共有
インバウンド交流会,2025年4月24日（木）19:00〜,none,オフライン,2000円（税込）,https://doomo.jp/event,訪日旅行者向けビジネスの交流イベント,東京都 千代田区 有楽町,インバウンドビジネス関係者,市場動向の共有と人脈形成
士業・不動産交流会,2025年4月25日（金）14:00〜,none,オフライン,2000円（税込）,https://doomo.jp/event,士業と不動産業のビジネスマッチングに,東京都 千代田区 有楽町,士業・不動産業関係者,ビジネスマッチングの機会
エンジニア交流会,2025年4月26日（土）14:00〜,none,オフライン,2000円（税込）,https://doomo.jp/event,IT系エンジニア・プログラマーなどの交流会,東京都 豊島区 池袋,IT系エンジニア・プログラマー,技術情報の共有と人脈形成
ウェルネス交流会,2025年4月30日（水）19:00〜,none,オフライン,2000円（税込）,https://doomo.jp/event,ヘルスケアやメディカル分野の交流会,東京都 新宿区,ヘルスケア・メディカル業界関係者,業界内の情報交換と人脈形成
しごたの交流会,2025年5月1日（木）19:00〜,none,オフライン,2000円（税込）,https://doomo.jp/event,仕事を楽しむ方が集まる異業種交流会,東京都 新宿区,仕事を楽しむ方,異業種間の交流と刺激
HR交流会,2025年5月8日（木）19:00〜,none,オフライン,2000円（税込）,https://doomo.jp/event,人事・人材ビジネス担当者が集うイベント,東京都 千代田区 有楽町,人事・人材ビジネス担当者,業界内の情報交換と人脈形成
税理士マッチング交流会,2025年5月9日（金）14:00〜,none,オフライン,2000円（税込）,https://doomo.jp/event,税理士と繋がるための交流会,東京都 新宿区,税理士・税務関係者,ビジネスマッチングの機会
書き描き交流会,2025年5月10日（土）14:00〜,none,オフライン,2000円（税込）,https://doomo.jp/event,ライター・デザイナー・作家・漫画家などの交流会,東京都 豊島区 池袋,クリエイティブ職の方,業界内の情報交換と人脈形成
20代限定ビジネス交流会,2025年5月13日（火）19:00〜,none,オフライン,2000円（税込）,https://doomo.jp/event,20代が集まる交流イベント,東京都 新宿区,20代のビジネスパーソン,同世代の人脈形成
関西ビジネス県人会,2025年5月15日（木）16:00〜,none,オフライン,2000円（税込）,https://doomo.jp/event,関西出身者が集まる異業種交流会,東京都 新宿区,関西出身のビジネスパーソン,同郷の人脈形成
中国ビジネス県人会,2025年5月15日（木）19:00〜,none,オフライン,2000円（税込）,https://doomo.jp/event,中国地方の出身者が集まる異業種交流会,東京都 新宿区,中国地方出身のビジネスパーソン,同郷の人脈形成
Tokyo Startup Pitch & Networking,2025年4月21日（月）18:30～21:30,2025年4月20日（日）,オフライン,3000円,https://www.eventbrite.com/e/tokyo-startup-pitch-networking-tickets-876543211234,起業家・スタートアップ関係者向け交流・ピッチイベント。主催：Startup Grind Tokyo。,Google for Startups Campus（東京都渋谷区道玄坂1-21-1),none,ピッチ参加可・ネットワーキングタイムあり
ITエンジニア異業種交流会,2025年5月18日（日）14:00～17:00,2025年5月15日（木）,オフライン,2500円,https://www.kokuchpro.com/event/it_engineer_exchange2025/,ITエンジニアおよびプログラマー向けの異業種交流会。主催：ITエンジニア交流会事務局。,東京都渋谷区渋谷会議室,ITエンジニア・プログラマー限定,技術共有・人脈形成
クラウドテクノロジー交流会,2025年5月25日（日）15:00～18:00,2025年5月22日（木）,ハイブリッド,4500円,https://cloudtech.tokyo2025.com/,クラウド技術に関連する企業担当者向け交流イベント。主催：Cloud Technology Network。,東京都港区六本木テクノロジーセンター,クラウド関連技術者・担当者限定,技術情報交換・ネットワーキング
AI・データ分析セミナー＆交流会,2025年5月27日（火）18:00～20:30,2025年5月25日（日）,オフライン,無料,https://www.jetro.go.jp/events/ai_data2025/,AI技術とデータ分析の最前線をテーマにしたセミナー＆交流会。主催：JETRO。,JETRO本部（東京都港区赤坂1-12-32 アーク森ビル）,AI技術者・データ分析担当者限定,セミナー内容とネットワーキング機会提供
スタートアップITミートアップ,2025年5月30日（金）18:30～21:00,2025年5月28日（水）,オフライン,3500円,https://startupit.tokyo2025.com/,スタートアップおよびIT関連事業者向けミートアップイベント。主催：Startup IT Network。,東京都渋谷区ヒカリエカンファレンスホール,IT関連事業者限定,人脈形成・技術共有
ITリーダー交流会,2025年5月28日（水）19:00～21:30,2025年5月26日（月）,オフライン,4000円,https://www.kokuchpro.com/event/itleader2025/,IT部門のリーダー向け交流イベント。主催：ITリーダーネットワーク事務局。,東京都中央区日本橋カンファレンスルーム,IT部門リーダー限定,課題共有・人脈形成
スマートシティ技術者交流会,2025年6月5日（木）18:30～21:00,2025年6月2日（月）,ハイブリッド,3000円,https://smartcity.tokyo2025.com/,スマートシティ技術関連担当者向けの交流イベント。主催：Smart City Tokyo事務局。,東京都港区虎ノ門スマートビル会議室,スマートシティ技術者限定,ビジネスパートナー形成・情報共有
